video_name,video_id,frame_number,timestamp_sec,track_id,frame_width,frame_height,video_fps,center_x,center_y,normalized_x,normalized_y,bbox_width,bbox_height,bbox_area_ratio,detection_confidence,motion_valid,movement_distance_px,movement_distance_norm,speed_px_s,speed_norm_s,acceleration_px_s2,acceleration_norm_s2,direction_angle_deg,direction_change_deg,direction_sin,direction_cos,consecutive_frames,sequence_id,scene_id,scene_name,behavior_label,behavior_label_value,transition_onset_frame,label_source,training_split
Crowd-Activity-All.avi,UMN_001,1,0.0,1,320,240,30.0,124.9883,120.3359,0.39058831,0.50139974,23.0883,53.7621,0.01616246,0.720156,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,SEQ_01,SCENE_01,Lawn,NORMAL,0,526,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,TRAIN
Crowd-Activity-All.avi,UMN_001,1,0.0,2,320,240,30.0,173.8788,96.8396,0.5433713,0.4034983,20.3989,49.4473,0.01313372,0.566943,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,SEQ_01,SCENE_01,Lawn,NORMAL,0,526,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,TRAIN
Crowd-Activity-All.avi,UMN_001,1,0.0,3,320,240,30.0,190.4124,98.2459,0.5950388,0.40935777,17.3579,48.3014,0.01091681,0.516001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,SEQ_01,SCENE_01,Lawn,NORMAL,0,526,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,TRAIN
Crowd-Activity-All.avi,UMN_001,1,0.0,4,320,240,30.0,273.6942,81.4171,0.85529432,0.33923804,19.8732,51.4357,0.0133098,0.463428,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,SEQ_01,SCENE_01,Lawn,NORMAL,0,526,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,TRAIN
Crowd-Activity-All.avi,UMN_001,1,0.0,5,320,240,30.0,312.4933,102.7445,0.97654171,0.42810202,14.4786,52.1263,0.00982706,0.444921,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,SEQ_01,SCENE_01,Lawn,NORMAL,0,526,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,TRAIN
Crowd-Activity-All.avi,UMN_001,1,0.0,6,320,240,30.0,86.4298,56.0791,0.27009311,0.23366302,13.9147,40.9025,0.00741078,0.43574,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,SEQ_01,SCENE_01,Lawn,NORMAL,0,526,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,TRAIN
Crowd-Activity-All.avi,UMN_001,1,0.0,7,320,240,30.0,106.048,58.4002,0.33139997,0.24333398,12.811,40.6243,0.00677655,0.352754,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,SEQ_01,SCENE_01,Lawn,NORMAL,0,526,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,TRAIN
Crowd-Activity-All.avi,UMN_001,1,0.0,8,320,240,30.0,253.6872,42.3905,0.79277258,0.17662706,13.3748,37.5172,0.00653367,0.276523,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,SEQ_01,SCENE_01,Lawn,NORMAL,0,526,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,TRAIN
Crowd-Activity-All.avi,UMN_001,1,0.0,9,320,240,30.0,236.21,73.12,0.73815637,0.30466677,15.4135,45.242,0.00907995,0.269148,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,SEQ_01,SCENE_01,Lawn,NORMAL,0,526,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,TRAIN
Crowd-Activity-All.avi,UMN_001,2,0.033333,1,320,240,30.0,125.8633,120.2946,0.39332268,0.50122751,23.2647,54.1341,0.01639862,0.720511,1,0.876,0.00218994,26.2793,0.06569819,0.0,0.0,357.2953,0.0,-0.04718858,0.998886,2,SEQ_01,SCENE_01,Lawn,NORMAL,0,526,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,TRAIN
Crowd-Activity-All.avi,UMN_001,2,0.033333,2,320,240,30.0,173.9492,97.1311,0.54359138,0.40471272,20.2234,49.045,0.01291483,0.534662,1,0.2998,0.00074962,8.9955,0.02248875,0.0,0.0,76.4158,0.0,0.97202585,0.23487391,2,SEQ_01,SCENE_01,Lawn,NORMAL,0,526,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,TRAIN
Crowd-Activity-All.avi,UMN_001,2,0.033333,3,320,240,30.0,190.1374,98.3295,0.59417937,0.40970623,17.153,47.7072,0.0106552,0.474221,1,0.2875,0.00071863,8.6235,0.02155883,0.0,0.0,163.0861,0.0,0.29093506,-0.9567428,2,SEQ_01,SCENE_01,Lawn,NORMAL,0,526,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,TRAIN
Crowd-Activity-All.avi,UMN_001,2,0.033333,4,320,240,30.0,273.6862,81.4642,0.85526924,0.33943426,19.9343,51.6125,0.01339661,0.444967,1,0.0478,0.00011943,1.4331,0.00358286,0.0,0.0,99.6722,0.0,0.98578517,-0.16801069,2,SEQ_01,SCENE_01,Lawn,NORMAL,0,526,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,TRAIN
Crowd-Activity-All.avi,UMN_001,2,0.033333,5,320,240,30.0,312.4633,102.9224,0.97644796,0.42884315,14.4651,52.0705,0.00980735,0.510566,1,0.1804,0.00045096,5.4115,0.01352878,0.0,0.0,99.5731,0.0,0.98607429,-0.1663054,2,SEQ_01,SCENE_01,Lawn,NORMAL,0,526,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,TRAIN
Crowd-Activity-All.avi,UMN_001,2,0.033333,6,320,240,30.0,86.4408,55.9466,0.27012739,0.23311064,13.7945,40.5507,0.00728358,0.409871,1,0.133,0.00033256,3.9907,0.00997676,0.0,0.0,274.7308,0.0,-0.99659316,0.0824747,2,SEQ_01,SCENE_01,Lawn,NORMAL,0,526,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,TRAIN
Crowd-Activity-All.avi,UMN_001,2,0.033333,7,320,240,30.0,106.1256,58.4537,0.3316424,0.24355703,12.9883,41.1853,0.0069652,0.320066,1,0.0943,0.00023564,2.8277,0.00706929,0.0,0.0,34.6075,0.0,0.56795187,0.82306176,2,SEQ_01,SCENE_01,Lawn,NORMAL,0,526,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,TRAIN
Crowd-Activity-All.avi,UMN_001,2,0.033333,8,320,240,30.0,253.7541,42.4855,0.79298143,0.17702301,13.4305,37.6735,0.0065882,0.230175,1,0.1162,0.00029044,3.4853,0.00871325,0.0,0.0,54.8811,0.0,0.81796035,0.57527459,2,SEQ_01,SCENE_01,Lawn,NORMAL,0,526,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,TRAIN
Crowd-Activity-All.avi,UMN_001,2,0.033333,9,320,240,30.0,236.8801,73.0477,0.74025016,0.30436526,15.491,45.3986,0.00915715,0.302862,1,0.6739,0.00168477,20.2173,0.05054323,0.0,0.0,353.8358,0.0,-0.10737773,0.9942183,2,SEQ_01,SCENE_01,Lawn,NORMAL,0,526,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,TRAIN
