sequence_id,scene_id,scene_name,zone_id,window_id,window_seconds,start_frame,end_frame,observed_frames,expected_frames,zone_presence_ratio,unique_person_count,avg_person_count_per_frame,max_person_count_per_frame,avg_bbox_area_ratio,max_bbox_area_ratio,avg_detection_confidence,valid_motion_rows,avg_movement_distance_norm,avg_speed_px_s,avg_speed_norm_s,max_speed_norm_s,speed_std_norm_s,avg_acceleration_norm_s2,acceleration_std_norm_s2,avg_direction_change_deg,mean_direction_deg,direction_consistency,movement_activity_ratio,behavior_label,behavior_label_value,transition_onset_frame,label_source,training_split
SEQ_01,SCENE_01,Lawn,ZONE_A,0,2.0,1,60,60,60,1.0,2,1.2833333333333334,2,0.007568865324675323,0.00880177,0.33743919480519485,75,0.0006354437662337663,7.625327272727271,0.019063314935064933,0.05556052,0.012864509221257925,0.02753439662337662,0.3859844941469927,42.43885194805195,277.5026898347452,0.46148897338958267,0.974025974025974,NORMAL,0,526,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,TRAIN
SEQ_01,SCENE_01,Lawn,ZONE_B,0,2.0,1,60,60,60,1.0,5,4.066666666666666,5,0.01136302536885246,0.01695243,0.4326362704918033,239,0.0013001709836065575,15.602046721311476,0.03900512278688524,0.16270029,0.03261715933484891,-0.0063987125819672174,1.013712383716486,40.82858237704918,227.8363151896966,0.15548889296430735,0.9795081967213115,NORMAL,0,526,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,TRAIN
SEQ_01,SCENE_01,Lawn,ZONE_C,0,2.0,1,60,60,60,1.0,4,2.9833333333333334,4,0.011240633128491618,0.01409551,0.41279017877094976,175,0.0010411571508379888,12.493882681564244,0.031234704692737432,0.12475084,0.023752273725756577,0.008313704134078215,0.6157155498173787,40.02165810055866,146.063802128625,0.09193650091840895,0.9776536312849162,NORMAL,0,526,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,TRAIN
SEQ_01,SCENE_01,Lawn,ZONE_A,1,2.0,61,120,60,60,1.0,3,1.4333333333333333,3,0.008296683604651165,0.01284659,0.3196747441860466,84,0.0013331606976744186,15.997931395348836,0.03999482755813954,0.13258082,0.03133174206259791,-0.007806007209302326,0.7591603691352203,45.145461627906975,208.89180851519095,0.266331702410205,0.9767441860465116,NORMAL,0,526,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,TRAIN
SEQ_01,SCENE_01,Lawn,ZONE_B,1,2.0,61,120,60,60,1.0,9,5.066666666666666,7,0.010415750427631579,0.01629004,0.45391974013157893,300,0.0013460238815789474,16.15228717105263,0.04038071779605263,0.1890723,0.029374604512174905,0.009428014703947373,0.8216911560052799,39.48829671052631,211.68628701735918,0.2138029848529733,0.9868421052631579,NORMAL,0,526,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,TRAIN
SEQ_01,SCENE_01,Lawn,ZONE_C,1,2.0,61,120,60,60,1.0,6,2.033333333333333,4,0.012480404016393444,0.01686587,0.45464186885245905,116,0.0013256705737704916,15.908046721311475,0.039770109262295086,0.12758964,0.02775448586751138,0.03542693909836068,0.7825238227579694,31.647707377049176,189.21067130453088,0.44545107342131324,0.9508196721311475,NORMAL,0,526,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,TRAIN
SEQ_01,SCENE_01,Lawn,ZONE_A,2,2.0,121,180,60,60,1.0,4,3.183333333333333,4,0.008782760314136126,0.01314244,0.39476062827225133,190,0.00125388445026178,15.046612565445027,0.037616527486911,0.15437773,0.0260533417084905,-0.010380356649214662,0.6662775210597731,37.41598534031414,183.3925149402133,0.5846927827587798,0.9947643979057592,NORMAL,0,526,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,TRAIN
SEQ_01,SCENE_01,Lawn,ZONE_B,2,2.0,121,180,60,60,1.0,7,3.7,5,0.009098310675675677,0.01339997,0.38656013513513515,222,0.00087527,10.503241441441443,0.026258102252252256,0.10649176,0.01888423588548065,-0.006037979774774776,0.4463185221620261,40.00448243243243,247.5335036584376,0.11105951652271957,1.0,NORMAL,0,526,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,TRAIN
SEQ_01,SCENE_01,Lawn,ZONE_C,2,2.0,121,180,60,60,1.0,8,4.833333333333333,6,0.011181583310344826,0.02187593,0.4664949103448276,286,0.0016892951379310344,20.271540689655176,0.05067885062068965,0.40802615,0.04646917980842739,-0.0077861297931034685,1.3516710995412784,36.03803413793104,132.2027712350489,0.23705659235676815,0.9862068965517241,NORMAL,0,526,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,TRAIN
SEQ_01,SCENE_01,Lawn,ZONE_A,3,2.0,181,240,60,60,1.0,5,3.783333333333333,5,0.009497834669603527,0.01675942,0.4404673039647577,226,0.000679793744493392,8.157518942731278,0.020393801541850224,0.06697398,0.012343087504746525,-0.005803797621145375,0.39915256660243875,41.99786784140969,131.56902357339126,0.37732165371027704,0.9955947136563876,NORMAL,0,526,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,TRAIN
SEQ_01,SCENE_01,Lawn,ZONE_B,3,2.0,181,240,60,60,1.0,7,4.016666666666667,5,0.011249302033195019,0.03418826,0.4012858340248962,237,0.0015490264315352698,18.58831784232365,0.04647079340248963,0.57778034,0.06217233461182793,-0.00020732734439834284,2.0239511169894273,46.98906804979253,185.419212154253,0.28814669493463424,0.983402489626556,NORMAL,0,526,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,TRAIN
SEQ_01,SCENE_01,Lawn,ZONE_C,3,2.0,181,240,60,60,1.0,4,3.45,4,0.010180374009661838,0.01534941,0.5070300869565217,206,0.0009096887439613526,10.916261835748793,0.027290652028985507,0.14543415,0.019918859838235766,0.0065685549275362335,0.4920973573306806,39.14329903381642,99.05551170371916,0.1894347677529182,0.9951690821256038,NORMAL,0,526,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,TRAIN
SEQ_01,SCENE_01,Lawn,ZONE_A,4,2.0,241,300,60,60,1.0,4,3.716666666666667,4,0.010227595829596411,0.01637538,0.4473128565022423,223,0.0008889568161434977,10.66748206278027,0.026668708116591926,0.12094087,0.01994976228770884,-0.0037592511210762306,0.543995530815767,43.13176591928251,90.12783115096676,0.43037295593005054,1.0,NORMAL,0,526,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,TRAIN
SEQ_01,SCENE_01,Lawn,ZONE_B,4,2.0,241,300,60,60,1.0,5,3.183333333333333,5,0.01029922816753927,0.01508759,0.40403569109947646,188,0.0012942668586387435,15.531204188481675,0.0388280145026178,0.19298352,0.027013802316128717,0.013335791570680633,0.8217195686305686,44.75426806282723,168.26045846804357,0.3433086476740842,0.9842931937172775,NORMAL,0,526,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,TRAIN
SEQ_01,SCENE_01,Lawn,ZONE_C,4,2.0,241,300,60,60,1.0,3,2.933333333333333,3,0.009737530738636363,0.01424093,0.47433836363636367,176,0.0008847017613636363,10.616421022727273,0.02654105380681818,0.08054636,0.014950745973131802,-0.00029576187500000346,0.4929588145705189,40.93361931818182,116.39706916656252,0.15353891928756785,1.0,NORMAL,0,526,LOCAL_VIDEO_EMBEDDED_RED_TEXT_ONSET,TRAIN
