sequence_id,scene_id,scene_name,zone_id,window_id,start_frame,end_frame,zone_presence_ratio,unique_person_count,avg_person_count_per_frame,max_person_count_per_frame,avg_bbox_area_ratio,max_bbox_area_ratio,avg_detection_confidence,valid_motion_rows,avg_movement_distance_norm,avg_speed_norm_s,max_speed_norm_s,speed_std_norm_s,avg_acceleration_norm_s2,acceleration_std_norm_s2,avg_direction_change_deg,direction_consistency,movement_activity_ratio,frames_until_transition,seconds_until_transition,future_forecast_label,future_abnormal_within_6sec,training_split
SEQ_01,SCENE_01,Lawn,ZONE_A,0,1,60,1.0,2,1.2833333333333334,2,0.0075688653246753,0.00880177,0.3374391948051948,75,0.0006354437662337,0.0190633149350649,0.05556052,0.0128645092212579,0.0275343966233766,0.3859844941469927,42.43885194805195,0.4614889733895826,0.974025974025974,466,15.533333333333333,NO_TRANSITION_WITHIN_6SEC,0,TRAIN
SEQ_01,SCENE_01,Lawn,ZONE_B,0,1,60,1.0,5,4.066666666666666,5,0.0113630253688524,0.01695243,0.4326362704918033,239,0.0013001709836065,0.0390051227868852,0.16270029,0.0326171593348489,-0.0063987125819672,1.013712383716486,40.82858237704918,0.1554888929643073,0.9795081967213116,466,15.533333333333333,NO_TRANSITION_WITHIN_6SEC,0,TRAIN
SEQ_01,SCENE_01,Lawn,ZONE_C,0,1,60,1.0,4,2.9833333333333334,4,0.0112406331284916,0.01409551,0.4127901787709497,175,0.0010411571508379,0.0312347046927374,0.12475084,0.0237522737257565,0.0083137041340782,0.6157155498173787,40.02165810055866,0.0919365009184089,0.9776536312849162,466,15.533333333333333,NO_TRANSITION_WITHIN_6SEC,0,TRAIN
SEQ_01,SCENE_01,Lawn,ZONE_A,1,61,120,1.0,3,1.4333333333333331,3,0.0082966836046511,0.01284659,0.3196747441860466,84,0.0013331606976744,0.0399948275581395,0.13258082,0.0313317420625979,-0.0078060072093023,0.7591603691352203,45.145461627906975,0.266331702410205,0.9767441860465116,406,13.533333333333333,NO_TRANSITION_WITHIN_6SEC,0,TRAIN
SEQ_01,SCENE_01,Lawn,ZONE_B,1,61,120,1.0,9,5.066666666666666,7,0.0104157504276315,0.01629004,0.4539197401315789,300,0.0013460238815789,0.0403807177960526,0.1890723,0.0293746045121749,0.0094280147039473,0.8216911560052799,39.48829671052631,0.2138029848529733,0.986842105263158,406,13.533333333333333,NO_TRANSITION_WITHIN_6SEC,0,TRAIN
SEQ_01,SCENE_01,Lawn,ZONE_C,1,61,120,1.0,6,2.033333333333333,4,0.0124804040163934,0.01686587,0.454641868852459,116,0.0013256705737704,0.039770109262295,0.12758964,0.0277544858675113,0.0354269390983606,0.7825238227579694,31.647707377049176,0.4454510734213132,0.9508196721311476,406,13.533333333333333,NO_TRANSITION_WITHIN_6SEC,0,TRAIN
SEQ_01,SCENE_01,Lawn,ZONE_A,2,121,180,1.0,4,3.183333333333333,4,0.0087827603141361,0.01314244,0.3947606282722513,190,0.0012538844502617,0.037616527486911,0.15437773,0.0260533417084905,-0.0103803566492146,0.6662775210597731,37.41598534031414,0.5846927827587798,0.9947643979057592,346,11.533333333333333,NO_TRANSITION_WITHIN_6SEC,0,TRAIN
SEQ_01,SCENE_01,Lawn,ZONE_B,2,121,180,1.0,7,3.7,5,0.0090983106756756,0.01339997,0.3865601351351351,222,0.00087527,0.0262581022522522,0.10649176,0.0188842358854806,-0.0060379797747747,0.4463185221620261,40.00448243243243,0.1110595165227195,1.0,346,11.533333333333333,NO_TRANSITION_WITHIN_6SEC,0,TRAIN
SEQ_01,SCENE_01,Lawn,ZONE_C,2,121,180,1.0,8,4.833333333333333,6,0.0111815833103448,0.02187593,0.4664949103448276,286,0.001689295137931,0.0506788506206896,0.40802615,0.0464691798084273,-0.0077861297931034,1.3516710995412784,36.03803413793104,0.2370565923567681,0.986206896551724,346,11.533333333333333,NO_TRANSITION_WITHIN_6SEC,0,TRAIN
SEQ_01,SCENE_01,Lawn,ZONE_A,3,181,240,1.0,5,3.783333333333333,5,0.0094978346696035,0.01675942,0.4404673039647577,226,0.0006797937444933,0.0203938015418502,0.06697398,0.0123430875047465,-0.0058037976211453,0.3991525666024387,41.99786784140969,0.377321653710277,0.9955947136563876,286,9.533333333333333,NO_TRANSITION_WITHIN_6SEC,0,TRAIN
