sequence_id,scene_id,scene_name,current_window_id,history_start_window_id,history_end_window_id,current_start_frame,current_end_frame,frames_until_transition,seconds_until_transition,future_forecast_label,future_abnormal_within_6sec,training_split,H0_global_unique_person_count,H0_global_avg_person_count_per_frame,H0_global_max_zone_person_count,H0_global_avg_speed_norm_s,H0_global_speed_std_norm_s,H0_global_avg_acceleration_norm_s2,H0_global_avg_direction_change_deg,H0_global_direction_consistency,H0_global_movement_activity_ratio,H1_global_unique_person_count,H1_global_avg_person_count_per_frame,H1_global_max_zone_person_count,H1_global_avg_speed_norm_s,H1_global_speed_std_norm_s,H1_global_avg_acceleration_norm_s2,H1_global_avg_direction_change_deg,H1_global_direction_consistency,H1_global_movement_activity_ratio,H2_global_unique_person_count,H2_global_avg_person_count_per_frame,H2_global_max_zone_person_count,H2_global_avg_speed_norm_s,H2_global_speed_std_norm_s,H2_global_avg_acceleration_norm_s2,H2_global_avg_direction_change_deg,H2_global_direction_consistency,H2_global_movement_activity_ratio,DELTA_global_unique_person_count,DELTA_global_avg_person_count_per_frame,DELTA_global_avg_speed_norm_s,DELTA_global_speed_std_norm_s,DELTA_global_avg_acceleration_norm_s2,DELTA_global_avg_direction_change_deg,DELTA_global_direction_consistency,DELTA_global_movement_activity_ratio
SEQ_01,SCENE_01,Lawn,2,0,2,121,180,346,11.533333333333331,NO_TRANSITION_WITHIN_6SEC,0,TRAIN,11.0,8.333333333333332,5.0,0.0297677141382291,0.0230779807606211,0.0098164627251625,41.0963641418866,0.2363047890907662,0.9770626006774008,18.0,8.533333333333333,7.0,0.040048551538829,0.029486944147428,0.0123496488643352,38.76048857182749,0.3085285868948305,0.9714686544802724,19.0,11.716666666666663,6.0,0.0381844934532842,0.0304689191341328,-0.0080681554056975,37.81950063689254,0.3109362972127558,0.9936570981524944,8.0,3.383333333333333,0.0084167793150551,0.0073909383735116,-0.0178846181308601,-3.276863504994054,0.0746315081219895,0.0165944974750936
SEQ_01,SCENE_01,Lawn,3,1,3,181,240,286,9.533333333333331,NO_TRANSITION_WITHIN_6SEC,0,TRAIN,18.0,8.533333333333333,7.0,0.040048551538829,0.029486944147428,0.0123496488643352,38.76048857182749,0.3085285868948305,0.9714686544802724,19.0,11.716666666666663,6.0,0.0381844934532842,0.0304689191341328,-0.0080681554056975,37.81950063689254,0.3109362972127558,0.9936570981524944,16.0,11.25,5.0,0.0313850823244417,0.0314780939849367,0.0001858099873308,42.71007830833955,0.2849677054659431,0.9913887618028492,-2.0,2.716666666666667,-0.0086634692143872,0.0019911498375086,-0.0121638388770043,3.94958973651206,-0.0235608814288873,0.0199201073225766
SEQ_01,SCENE_01,Lawn,4,2,4,241,300,226,7.533333333333333,NO_TRANSITION_WITHIN_6SEC,0,TRAIN,19.0,11.716666666666663,6.0,0.0381844934532842,0.0304689191341328,-0.0080681554056975,37.81950063689254,0.3109362972127558,0.9936570981524944,16.0,11.25,5.0,0.0313850823244417,0.0314780939849367,0.0001858099873308,42.71007830833955,0.2849677054659431,0.9913887618028492,12.0,9.833333333333334,5.0,0.0306792588086759,0.0206381035256564,0.0030935928582014,42.939884433430514,0.3090735076305675,0.9947643979057592,-7.0,-1.883333333333331,-0.0075052346446083,-0.0098308156084763,0.011161748263899,5.120383796537972,-0.0018627895821882,0.0011072997532649
SEQ_01,SCENE_01,Lawn,5,3,5,301,360,166,5.533333333333333,ABNORMAL_WITHIN_6SEC,1,TRAIN,16.0,11.25,5.0,0.0313850823244417,0.0314780939849367,0.0001858099873308,42.71007830833955,0.2849677054659431,0.9913887618028492,12.0,9.833333333333334,5.0,0.0306792588086759,0.0206381035256564,0.0030935928582014,42.939884433430514,0.3090735076305675,0.9947643979057592,14.0,8.266666666666666,4.0,0.0339196931481162,0.0303969535404091,0.0066797685304337,44.00764929859113,0.3870662148156787,0.9887978206519176,-2.0,-2.9833333333333343,0.0025346108236744,-0.0010811404445276,0.0064939585431029,1.297570990251586,0.1020985093497356,-0.0025909411509315
SEQ_01,SCENE_01,Lawn,6,4,6,361,420,106,3.533333333333333,ABNORMAL_WITHIN_6SEC,1,TRAIN,12.0,9.833333333333334,5.0,0.0306792588086759,0.0206381035256564,0.0030935928582014,42.939884433430514,0.3090735076305675,0.9947643979057592,14.0,8.266666666666666,4.0,0.0339196931481162,0.0303969535404091,0.0066797685304337,44.00764929859113,0.3870662148156787,0.9887978206519176,13.0,9.183333333333334,4.0,0.0311931860338901,0.0254379596132782,0.002589883558805,44.73651834033969,0.4305388519767364,0.98300959145708,1.0,-0.6500000000000004,0.0005139272252142,0.0047998560876217,-0.0005037092993963,1.7966339069091788,0.1214653443461689,-0.0117548064486792
SEQ_01,SCENE_01,Lawn,7,5,7,421,480,46,1.5333333333333334,ABNORMAL_WITHIN_6SEC,1,TRAIN,14.0,8.266666666666666,4.0,0.0339196931481162,0.0303969535404091,0.0066797685304337,44.00764929859113,0.3870662148156787,0.9887978206519176,13.0,9.183333333333334,4.0,0.0311931860338901,0.0254379596132782,0.002589883558805,44.73651834033969,0.4305388519767364,0.98300959145708,14.0,8.083333333333332,4.0,0.0345639086433683,0.0265252074694325,-0.0004319828914776,41.495498407493,0.4983751388675179,0.9948823529411764,0.0,-0.1833333333333335,0.000644215495252,-0.0038717460709765,-0.0071117514219113,-2.5121508910981376,0.1113089240518391,0.0060845322892588
SEQ_02,SCENE_01,Lawn,2,0,2,747,806,525,17.5,NO_TRANSITION_WITHIN_6SEC,0,VALIDATION,16.0,9.345762711864406,5.0,0.0373654782476538,0.0268332515731925,0.0030436429048279,35.5537843003945,0.2552741357101875,0.97920773648929,21.0,10.764285714285714,6.0,0.0412726318743522,0.0310082149764996,-0.0026053167131674,47.59818450335462,0.35858624056054,0.9865133911525664,13.0,9.45,8.0,0.0346231514947991,0.0293268875549908,-0.0118962812193061,42.95336515812891,0.3603206127889858,0.984672619047619,-3.0,0.104237288135593,-0.0027423267528547,0.0024936359817983,-0.0149399241241341,7.399580857734413,0.1050464770787983,0.0054648825583289
SEQ_02,SCENE_01,Lawn,3,1,3,807,866,465,15.5,NO_TRANSITION_WITHIN_6SEC,0,VALIDATION,21.0,10.764285714285714,6.0,0.0412726318743522,0.0310082149764996,-0.0026053167131674,47.59818450335462,0.35858624056054,0.9865133911525664,13.0,9.45,8.0,0.0346231514947991,0.0293268875549908,-0.0118962812193061,42.95336515812891,0.3603206127889858,0.984672619047619,17.0,9.956060606060609,7.0,0.0419173535905741,0.0400994061137348,-0.0082133657610125,42.60062288067932,0.406718644474837,0.970795313787872,-4.0,-0.8082251082251073,0.0006447217162219,0.0090911911372352,-0.0056080490478451,-4.997561622675299,0.0481324039142969,-0.0157180773646943
SEQ_02,SCENE_01,Lawn,4,2,4,867,926,405,13.5,NO_TRANSITION_WITHIN_6SEC,0,VALIDATION,13.0,9.45,8.0,0.0346231514947991,0.0293268875549908,-0.0118962812193061,42.95336515812891,0.3603206127889858,0.984672619047619,17.0,9.956060606060609,7.0,0.0419173535905741,0.0400994061137348,-0.0082133657610125,42.60062288067932,0.406718644474837,0.970795313787872,14.0,8.666666666666666,5.0,0.0385305555717291,0.0267594037231312,0.0203058478085618,37.30012378908129,0.4312444830094969,0.99009139009139,1.0,-0.7833333333333332,0.00390740407693,-0.0025674838318596,0.032202129027868,-5.65324136904762,0.0709238702205111,0.0054187710437709
SEQ_02,SCENE_01,Lawn,5,3,5,927,986,345,11.5,NO_TRANSITION_WITHIN_6SEC,0,VALIDATION,17.0,9.956060606060609,7.0,0.0419173535905741,0.0400994061137348,-0.0082133657610125,42.60062288067932,0.406718644474837,0.970795313787872,14.0,8.666666666666666,5.0,0.0385305555717291,0.0267594037231312,0.0203058478085618,37.30012378908129,0.4312444830094969,0.99009139009139,16.0,9.433333333333334,6.0,0.0297224563716388,0.0216502424712917,-0.0093391017522078,42.0692349729022,0.3826014295821061,0.9899229475692092,-1.0,-0.5227272727272734,-0.0121948972189353,-0.0184491636424431,-0.0011257359911952,-0.5313879077771162,-0.0241172148927309,0.0191276337813371
