video_name,video_id,window_index,window_start_sec,window_end_sec,zone_id,unique_person_count,avg_person_count_per_frame,max_person_count_per_frame,avg_bbox_area_ratio,total_bbox_area_ratio,avg_detection_confidence,valid_motion_rows,motion_valid_ratio,avg_movement_norm,avg_speed_px_s,avg_speed_norm_s,speed_std_norm_s,avg_acceleration_norm_s2,acceleration_std_norm_s2,avg_direction_change_deg,mean_direction_deg,direction_consistency,ground_truth_label,ground_truth_interval
Crowd-Activity-All.avi,UMN_001,0,0.0,2.0,ZONE_A,2,1.2833,2,0.00756887,0.58280263,0.337439,75,0.974026,0.00065239,7.8287,0.01957167,0.01264751,0.02826865,0.39107056,43.5706,277.5027,0.473795,NORMAL,
Crowd-Activity-All.avi,UMN_001,0,0.0,2.0,ZONE_B,5,4.0667,5,0.01136303,2.77257819,0.432636,239,0.979508,0.00132737,15.9284,0.03982113,0.03245985,-0.00653258,1.02426076,41.6827,227.8363,0.158742,NORMAL,
Crowd-Activity-All.avi,UMN_001,0,0.0,2.0,ZONE_C,4,2.9833,4,0.01124063,2.01207333,0.41279,175,0.977654,0.00106496,12.7795,0.03194864,0.02354265,0.00850373,0.62271124,40.9364,146.0638,0.094038,NORMAL,
Crowd-Activity-All.avi,UMN_001,1,2.0,4.0,ZONE_A,3,1.4333,3,0.00829668,0.71351479,0.319675,84,0.976744,0.0013649,16.3788,0.04094709,0.03108149,-0.00799186,0.76814386,46.2204,208.8918,0.272673,NORMAL,
Crowd-Activity-All.avi,UMN_001,1,2.0,4.0,ZONE_B,9,5.0667,7,0.01041575,3.16638813,0.45392,300,0.986842,0.00136397,16.3677,0.04091913,0.02919488,0.00955372,0.82715023,40.0148,211.6863,0.216654,NORMAL,
Crowd-Activity-All.avi,UMN_001,1,2.0,4.0,ZONE_C,6,2.0333,4,0.0124804,1.52260929,0.454642,116,0.95082,0.00139424,16.7309,0.04182718,0.02690936,0.03725937,0.80246383,33.2847,189.2107,0.468492,NORMAL,
Crowd-Activity-All.avi,UMN_001,2,4.0,6.0,ZONE_A,4,3.1833,4,0.00878276,1.67750722,0.394761,190,0.994764,0.00126048,15.1258,0.03781451,0.02597812,-0.01043499,0.66802816,37.6129,183.3925,0.58777,NORMAL,
Crowd-Activity-All.avi,UMN_001,2,4.0,6.0,ZONE_B,7,3.7,5,0.00909831,2.01982497,0.38656,222,1.0,0.00087527,10.5032,0.0262581,0.01888424,-0.00603798,0.44631852,40.0045,247.5335,0.11106,NORMAL,
Crowd-Activity-All.avi,UMN_001,2,4.0,6.0,ZONE_C,8,4.8333,6,0.01118158,3.24265916,0.466495,286,0.986207,0.00171292,20.5551,0.05138765,0.04640218,-0.00789503,1.36109021,36.5421,132.2028,0.240372,NORMAL,
Crowd-Activity-All.avi,UMN_001,3,6.0,8.0,ZONE_A,5,3.7833,5,0.00949783,2.15600847,0.440467,226,0.995595,0.0006828,8.1936,0.02048404,0.01229543,-0.00582948,0.40003449,42.1837,131.569,0.378991,NORMAL,
