video_name,sequence_id,scene_id,scene_name,start_frame,end_frame,frame_count,start_time_sec,end_time_sec,duration_sec,start_reason,boundary_evidence,sequence_status,official_boundary_claim,abnormal_ground_truth_status,training_allowed
Crowd-Activity-All.avi,SEQ_01,SCENE_01,Lawn,1,625,625,0.0,20.8,20.8333,VIDEO_START,VIDEO_START,RECONSTRUCTED_AND_VISUALLY_VERIFIED,NO,NOT_VERIFIED,NO
Crowd-Activity-All.avi,SEQ_02,SCENE_01,Lawn,626,1453,828,20.8333,48.4,27.6,CROWD_RESET,AUTO_RECONSTRUCTED_VISUALLY_VERIFIED,RECONSTRUCTED_AND_VISUALLY_VERIFIED,NO,NOT_VERIFIED,NO
Crowd-Activity-All.avi,SEQ_03,SCENE_02,Indoor,1454,2002,549,48.4333,66.7,18.3,SCENE_CHANGE,HARD_SCENE_CUT_VISUALLY_VERIFIED,RECONSTRUCTED_AND_VISUALLY_VERIFIED,NO,NOT_VERIFIED,NO
Crowd-Activity-All.avi,SEQ_04,SCENE_02,Indoor,2003,2687,685,66.7333,89.5333,22.8333,CROWD_RESET,AUTO_RECONSTRUCTED_VISUALLY_VERIFIED,RECONSTRUCTED_AND_VISUALLY_VERIFIED,NO,NOT_VERIFIED,NO
Crowd-Activity-All.avi,SEQ_05,SCENE_02,Indoor,2688,3455,768,89.5667,115.1333,25.6,CROWD_RESET,AUTO_RECONSTRUCTED_VISUALLY_VERIFIED,RECONSTRUCTED_AND_VISUALLY_VERIFIED,NO,NOT_VERIFIED,NO
Crowd-Activity-All.avi,SEQ_06,SCENE_02,Indoor,3456,4034,579,115.1667,134.4333,19.3,CROWD_RESET,AUTO_RECONSTRUCTED_VISUALLY_VERIFIED,RECONSTRUCTED_AND_VISUALLY_VERIFIED,NO,NOT_VERIFIED,NO
Crowd-Activity-All.avi,SEQ_07,SCENE_02,Indoor,4035,4929,895,134.4667,164.2667,29.8333,CROWD_RESET,AUTO_RECONSTRUCTED_VISUALLY_VERIFIED,RECONSTRUCTED_AND_VISUALLY_VERIFIED,NO,NOT_VERIFIED,NO
Crowd-Activity-All.avi,SEQ_08,SCENE_02,Indoor,4930,5596,667,164.3,186.5,22.2333,CROWD_RESET,AUTO_RECONSTRUCTED_VISUALLY_VERIFIED,RECONSTRUCTED_AND_VISUALLY_VERIFIED,NO,NOT_VERIFIED,NO
Crowd-Activity-All.avi,SEQ_09,SCENE_03,Outdoor_Plaza,5597,6254,658,186.5333,208.4333,21.9333,SCENE_CHANGE,HARD_SCENE_CUT_VISUALLY_VERIFIED,RECONSTRUCTED_AND_VISUALLY_VERIFIED,NO,NOT_VERIFIED,NO
Crowd-Activity-All.avi,SEQ_10,SCENE_03,Outdoor_Plaza,6255,6931,677,208.4667,231.0,22.5667,CROWD_RESET,AUTO_RECONSTRUCTED_VISUALLY_VERIFIED,RECONSTRUCTED_AND_VISUALLY_VERIFIED,NO,NOT_VERIFIED,NO
Crowd-Activity-All.avi,SEQ_11,SCENE_03,Outdoor_Plaza,6932,7739,808,231.0333,257.9333,26.9333,CROWD_RESET,AUTO_RECONSTRUCTED_VISUALLY_VERIFIED,RECONSTRUCTED_AND_VISUALLY_VERIFIED,NO,NOT_VERIFIED,NO
